iter	Logloss
0	0.4908056837
1	0.3625994133
2	0.2744751402
3	0.2221521625
4	0.1877148486
5	0.1634522208
6	0.1467736725
7	0.1369372192
8	0.1295376542
9	0.1241591298
10	0.1201690052
11	0.1163576384
12	0.113923542
13	0.1115860253
14	0.1096260676
15	0.108720519
16	0.1077087069
17	0.1064932544
18	0.1060885684
19	0.1055036165
20	0.1047619607
21	0.1041123374
22	0.1035687115
23	0.1031748895
24	0.1027251951
25	0.1023469424
26	0.1019058001
27	0.1016834204
28	0.1013122466
29	0.1008828399
30	0.1006238585
31	0.1002552307
32	0.09984366292
33	0.09961376445
34	0.09934897088
35	0.09903277824
36	0.0987429547
37	0.09858410737
38	0.09817796999
39	0.09797788383
40	0.09778514725
41	0.09761348951
42	0.09747375494
43	0.09726803911
44	0.09705724545
45	0.09675869451
46	0.09659922825
47	0.09640606324
48	0.09613485068
49	0.09591539775
50	0.09572618761
51	0.0955598595
52	0.09539315517
53	0.09532277849
54	0.09519606908
55	0.09494438787
56	0.09481790964
57	0.09458329727
58	0.09446503734
59	0.09434549982
60	0.09421706268
61	0.09402956628
62	0.09393982195
63	0.09380564426
64	0.09370432296
65	0.09356745347
66	0.09344124254
67	0.09321721344
68	0.09303177227
69	0.09274405561
70	0.09260954012
71	0.09252623588
72	0.09243221236
73	0.09230557255
74	0.09218639631
75	0.09207290145
76	0.09195475561
77	0.09186929296
78	0.09176256234
79	0.09167067328
80	0.09161137605
81	0.09155153174
82	0.09137180729
83	0.09120539163
84	0.09101129917
85	0.09094962028
86	0.09081747041
87	0.09066660175
88	0.09055362937
89	0.09043089547
90	0.09031503422
91	0.09017526717
92	0.0900717473
93	0.09000507608
94	0.0899124725
95	0.08978391216
96	0.08964367493
97	0.08962201224
98	0.08954856826
99	0.08945529752
100	0.08939173096
101	0.08928192872
102	0.08918561484
103	0.08911504934
104	0.08896178778
105	0.08888013721
106	0.08876592383
107	0.0886271787
108	0.08853656126
109	0.08844504766
110	0.08836246797
111	0.0882934663
112	0.08815225397
113	0.08807886412
114	0.08801727345
115	0.08796896409
116	0.08792008512
117	0.08786027835
118	0.08774511049
119	0.08773787158
120	0.08769595935
121	0.08761150429
122	0.08748998779
123	0.0873512576
124	0.08725940074
125	0.08720635958
126	0.08711407485
127	0.0870486842
128	0.08700240753
129	0.08690089673
130	0.08682060319
131	0.08673720949
132	0.08664581918
133	0.08654389121
134	0.08643408619
135	0.0863800536
136	0.08632798747
137	0.08626425505
138	0.08621831632
139	0.08614792968
140	0.08608122061
141	0.08601207886
142	0.0859382875
143	0.08583478965
144	0.08578237317
145	0.08571419641
146	0.08565394046
147	0.0855495356
148	0.08547962029
149	0.08543692088
150	0.08537574364
151	0.08530214241
152	0.0852295867
153	0.08518927889
154	0.08510257673
155	0.08503956462
156	0.08497793489
157	0.0849755055
158	0.08492182257
159	0.08484636529
160	0.08476835195
161	0.08470513623
162	0.08462187541
163	0.08434223579
164	0.08428132037
165	0.08423598282
166	0.08418704257
167	0.08410503217
168	0.08403074513
169	0.08396922125
170	0.0838919616
171	0.08382819612
172	0.08375421278
173	0.08367617986
174	0.08363178181
175	0.08357866523
176	0.08356536954
177	0.08347039589
