iter	Passed	Remaining
399	58218	87327
400	58341	87148
401	58468	86976
402	58592	86797
403	58732	86644
404	58861	86474
405	58997	86316
406	59119	86136
407	59234	85947
408	59365	85782
409	59501	85623
410	59666	85507
411	59825	85382
412	59957	85217
413	60077	85037
414	60195	84853
415	60307	84662
416	60436	84494
417	60571	84336
418	60695	84161
419	60822	83993
420	60952	83828
421	61078	83657
422	61216	83503
423	61332	83319
424	61577	83310
425	61716	83157
426	61890	83051
427	62017	82883
428	62146	82717
429	62299	82582
430	62416	82400
431	62543	82233
432	62651	82039
433	62771	81862
434	62890	81685
435	63026	81529
436	63189	81408
437	63321	81247
438	63475	81115
439	63690	81060
440	63847	80930
441	63983	80775
442	64132	80635
443	64288	80505
444	64420	80345
445	64562	80196
446	64678	80015
447	64831	79881
448	64974	79734
449	65154	79633
450	65344	79543
451	65529	79447
452	65804	79459
453	65975	79345
454	66129	79210
455	66257	79043
456	66401	78897
457	66561	78768
458	66672	78583
459	66801	78419
460	66949	78277
461	67103	78142
462	67271	78022
463	67396	77854
464	67578	77752
465	67766	77654
466	67929	77530
467	68071	77380
468	68205	77221
469	68336	77060
470	68461	76892
471	68598	76737
472	68713	76558
473	68865	76420
474	68991	76253
475	69124	76094
476	69244	75921
477	69361	75746
478	69490	75583
479	69620	75422
480	69746	75256
481	69874	75093
482	70001	74928
483	70122	74758
484	70256	74602
485	70375	74429
486	70500	74264
487	70633	74107
488	70770	73954
489	70894	73787
490	71046	73651
491	71148	73462
492	71272	73296
493	71398	73133
494	71534	72979
495	71666	72822
496	71805	72672
497	71928	72506
498	72090	72379
499	72207	72207
500	72346	72057
501	72471	71894
502	72599	71733
503	72733	71579
504	72870	71427
505	72978	71247
506	73082	71064
507	73210	70904
508	73322	70729
509	73430	70550
510	73586	70418
511	73712	70257
512	73839	70096
513	73948	69920
514	74081	69765
515	74200	69599
516	74342	69453
517	74486	69309
518	74613	69150
519	74718	68970
520	74826	68794
521	74947	68629
522	75092	68487
523	75221	68330
524	75349	68173
525	75498	68035
526	75624	67875
527	75751	67716
528	75905	67582
529	76035	67427
530	76163	67270
531	76278	67102
532	76407	66946
533	76545	66798
534	76675	66642
535	76799	66482
536	76926	66325
537	77069	66182
538	77215	66041
539	77319	65864
540	77471	65729
541	77606	65578
542	77745	65432
543	77873	65276
544	78010	65128
545	78134	64969
546	78271	64820
547	78409	64673
548	78534	64515
549	78677	64372
550	78873	64272
551	79025	64136
552	79146	63975
553	79288	63831
554	79480	63727
555	79601	63566
556	79735	63416
557	79874	63269
558	80013	63123
559	80143	62970
560	80267	62811
561	80404	62664
562	80527	62505
563	80676	62367
564	80853	62249
565	81039	62139
566	81212	62019
567	81369	61886
568	81541	61765
569	81705	61637
570	81888	61524
571	82048	61392
572	82220	61270
573	82352	61118
574	82483	60966
575	82594	60798
576	82759	60670
577	82951	60563
578	83076	60405
579	83227	60268
580	83365	60120
581	83532	59994
582	83673	59849
583	83796	59690
584	83960	59561
585	84097	59413
586	84239	59268
587	84350	59102
588	84503	58966
589	84639	58817
590	84858	58726
591	84988	58573
592	85135	58432
593	85249	58268
594	85382	58117
595	85519	57969
596	85654	57820
597	85756	57649
598	85897	57503
599	86014	57343
600	86149	57194
601	86273	57038
602	86404	56886
603	86546	56742
604	86672	56587
605	86799	56433
606	86946	56292
607	87079	56143
608	87259	56023
609	87391	55873
610	87541	55734
611	87661	55575
612	87810	55436
613	87936	55282
614	88057	55125
615	88178	54968
616	88309	54818
617	88498	54702
618	88654	54567
619	88770	54407
620	88905	54259
621	89048	54116
622	89231	53997
623	89389	53862
624	89571	53742
625	89686	53582
626	89827	53437
627	89971	53295
628	90135	53164
629	90277	53020
630	90417	52874
631	90565	52734
632	90709	52591
633	90856	52450
634	91022	52320
635	91194	52193
636	91350	52057
637	91488	51910
638	91614	51757
